0, 1.5, 0.0, 4, -4, -0.5
0, 100, 0.0, 4, 0.5, 4
0, 100, -2.5, 4, -6.5, -3
0, 100, -2.5, 4, -2, 1.5
0, 100, 0.0, 4, -1.75, 1.75
0, 100, 2.5, 4, 3, 6.5
0, 100, 2.5, 4, 3.5, 6
0, 100, 0.0, 4, -1.75, 1.75
0, 100, 2, 14, 0.5, 3.5
0, 100, -1.5, 36, -2.5, -1
0, 100, 0.0, 4, -4, -0.5
0, 100, 0.0, 4, 0.5, 4
0, 100, -2.5, 4, -6.5, -3
0, 100, -2.5, 4, -2, 1.5
0, 100, 0.0, 4, -1.75, 1.75
0, 100, 2.5, 4, 3, 6.5
0, 100, 2.5, 4, 3.5, 6
0, 100, 0.0, 4, -1.75, 1.75
0, 100, 2, 14, 0.5, 3.5
0, 100, -1.5, 36, -2.5, -1
