0.0, 100, 0.2, -4, -0.5
0.0, 100, 0.2, 0.5, 4
0.0, 100, 0.2, -1, 1
0.0, 100, 0.2, -6, -2.5
0.0, 100, 0.2, 2.5, 6
0.0, 100, 0.4, -1.5, -0.5
0.0, 100, 7.0, -0.5, 0.5
0.0, 100, 0.4, -1.5, -0.5
0.0, 100, 7.0, -0.5, 0.5
0.0, 100, 0.4, -1.5, -0.5
0.0, 100, 7.0, -0.5, 0.5
0.0, 0.5, 0.4, -1.5, -0.5
0.0, 7.3, 7.0, -0.5, 0.5
0.0, 0.5, 0.4, -1.5, -0.5
0.0, 7.3, 7.0, -0.5, 0.5
0.0, 0.5, 0.4, -1.5, -0.5
0.0, 7.3, 7.0, -0.5, 0.5
4.6, 3.6, 3.5, -6.2, 0.0
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 9.7
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 5.4
4.3, 7.3, 7.8, 5.5, 6.4
4.6, 3.6, 3.5, 6.2, 9.5
4.3, 7.3, 7.8, -5.5, -3.3
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.42
4.6, 3.6, 3.5, 6.2, 9.4
4.3, 7.3, 7.8, -5.5, -4.5
4.6, 3.6, 3.5, 6.2, 9.0
4.3, 7.3, 7.8, -5.5, 0.0
4.6, 3.6, 3.5, -6.2, 0
4.3, 7.3, 7.8, 5.5, 9
4.6, 3.6, 3.5, -6.2,9
0.0, 0.5, 0.4, -4.6, -3.7, -1.6, 5.4, 6.7, 8.9
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.2
4.6, 3.6, 3.5, -6.2, 0.0
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 9.7
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 5.4
4.3, 7.3, 7.8, 5.5, 6.4
4.6, 3.6, 3.5, 6.2, 9.5
4.3, 7.3, 7.8, -5.5, -3.3
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.42
4.6, 3.6, 3.5, 6.2, 9.4
4.3, 7.3, 7.8, -5.5, -4.5
4.6, 3.6, 3.5, 6.2, 9.0
4.3, 7.3, 7.8, -5.5, 0.0
4.6, 3.6, 3.5, -6.2, 0
4.3, 7.3, 7.8, 5.5, 9
4.6, 3.6, 3.5, -6.2,9
0.0, 0.5, 0.4, -4.6, -3.7, -1.6, 5.4, 6.7, 8.9
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.2
4.6, 3.6, 3.5, -6.2, 0.0
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 9.7
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 5.4
4.3, 7.3, 7.8, 5.5, 6.4
4.6, 3.6, 3.5, 6.2, 9.5
4.3, 7.3, 7.8, -5.5, -3.3
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.42
4.6, 3.6, 3.5, 6.2, 9.4
4.3, 7.3, 7.8, -5.5, -4.5
4.6, 3.6, 3.5, 6.2, 9.0
4.3, 7.3, 7.8, -5.5, 0.0
4.6, 3.6, 3.5, -6.2, 0
4.3, 7.3, 7.8, 5.5, 9
4.6, 3.6, 3.5, -6.2,9
0.0, 0.5, 0.4, -4.6, -3.7, -1.6, 5.4, 6.7, 8.9
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.2
4.6, 3.6, 3.5, -6.2, 0.0
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 9.7
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 5.4
4.3, 7.3, 7.8, 5.5, 6.4
4.6, 3.6, 3.5, 6.2, 9.5
4.3, 7.3, 7.8, -5.5, -3.3
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.42
4.6, 3.6, 3.5, 6.2, 9.4
4.3, 7.3, 7.8, -5.5, -4.5
4.6, 3.6, 3.5, 6.2, 9.0
4.3, 7.3, 7.8, -5.5, 0.0
4.6, 3.6, 3.5, -6.2, 0
4.3, 7.3, 7.8, 5.5, 9
4.6, 3.6, 3.5, -6.2,9
0.0, 0.5, 0.4, -4.6, -3.7, -1.6, 5.4, 6.7, 8.9
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.2
4.6, 3.6, 3.5, -6.2, 0.0
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 9.7
4.3, 7.3, 7.8, 5.5, 7.3
4.6, 3.6, 3.5, -6.2, 5.4
4.3, 7.3, 7.8, 5.5, 6.4
4.6, 3.6, 3.5, 6.2, 9.5
4.3, 7.3, 7.8, -5.5, -3.3
4.6, 3.6, 3.5, 6.2, 7.4
4.3, 7.3, 7.8, -5.5, 4.42
4.6, 3.6, 3.5, 6.2, 9.4
4.3, 7.3, 7.8, -5.5, -4.5
4.6, 3.6, 3.5, 6.2, 9.0
4.3, 7.3, 7.8, -5.5, 0.0
4.6, 3.6, 3.5, -6.2, 0
4.3, 7.3, 7.8, 5.5, 9
4.6, 3.6, 3.5, -6.2,9
